ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108396,SRR7108397,SRR7108398,SRR7108399,SRR7108400,SRR7108401,SRR7108402,SRR7108403,SRR7108396 CPM,SRR7108397 CPM,SRR7108398 CPM,SRR7108399 CPM,SRR7108400 CPM,SRR7108401 CPM,SRR7108402 CPM,SRR7108403 CPM
ENSG00000198590,C3orf35,0,2.4711618423751,6.57848245581207e-7,-0.251307737293089,7.1818333928655e-8,3,2.005931,2,4,19.031867,10,6,14,0.245,0.195,0.179,0.314,1.590,0.986,0.575,1.258
ENSG00000138080,EMILIN1,0,-5.75418422123882,6.64899234226275e-7,-0.989991540064545,7.26015231791799e-8,8,7,7,8,0,0,0,0,0.654,0.679,0.628,0.628,0.000,0.000,0.000,0.000
ENSG00000178096,BOLA1,0,-1.45858106316496,6.64899234226275e-7,1.94641171905258,7.26109711135028e-8,64,65,66,70.999999,32,15,9,18.999999,5.229,6.307,5.918,5.571,2.673,1.479,0.862,1.707
ENSG00000189045,ANKDD1B,0,-2.74944212348978,6.77757117200446e-7,-0.232121850794106,7.4038440649685e-8,18,13,9,16,2,0,2,2,1.471,1.261,0.807,1.255,0.167,0.000,0.192,0.180
ENSG00000271225,BNIP3P4,0,-2.71122342814125,6.82300790733193e-7,-0.200215213190947,7.45465273105745e-8,18,16,11.651727,11.670165,2.66926,2.677253,1,0,1.471,1.553,1.045,0.916,0.223,0.264,0.096,0.000
ENSG00000170442,KRT86,0,2.37484114801774,6.92456663016761e-7,1.12654316657363,7.56680419765165e-8,6.900186,14.699441,4.474352,9.950286,21.11675,44.584645,44.000707,32.392649,0.564,1.426,0.401,0.781,1.764,4.395,4.213,2.911
ENSG00000272645,NA,0,-1.22091674598716,6.92656710220675e-7,2.64954236509149,7.57018142544308e-8,109.03458,91.235196,133.47949,91.608818,52.332845,29.442716,21.738812,37.928755,8.909,8.853,11.968,7.188,4.371,2.902,2.082,3.408
ENSG00000228451,SDAD1P1,0,-2.02342273403194,6.98547757857679e-7,0.973384158873143,7.6369685395657e-8,29.838235,21.389229,36.74204,51.548067,7.281433,4.170816,7.159084,7.111469,2.438,2.075,3.294,4.045,0.608,0.411,0.686,0.639
ENSG00000248367,NA,0,2.66474176741868,6.98940609893317e-7,-0.476640766397895,7.6424654714804e-8,3,1,1,3,12,11,10,8,0.245,0.097,0.090,0.235,1.002,1.084,0.958,0.719
ENSG00000167011,NAT16,0,3.73088646374083,7.05066943075695e-7,-1.0504658985384,7.71187809854579e-8,0,1.003834,0,1.002352,9,5,5.750125,6.001582,0.000,0.097,0.000,0.079,0.752,0.493,0.551,0.539
ENSG00000161551,ZNF577,0,-1.93203608023257,7.18916976847092e-7,0.934449420247427,7.86831245060776e-8,37.016611,37.619754,31.001784,27.414698,9.179631,3,4.44768,10.099661,3.025,3.650,2.780,2.151,0.767,0.296,0.426,0.907
ENSG00000107020,PLGRKT,0,-1.03467770983279,7.21048065055321e-7,3.08004975751602,7.8941166047125e-8,166,118.999999,119,158,74,60,31,45,13.564,11.547,10.670,12.398,6.181,5.914,2.968,4.043
ENSG00000176490,DIRAS1,0,1.80488841802557,7.21856548280457e-7,1.01257833322871,7.90420940530323e-8,11,10,12,12,24,29,39.50376,27.177683,0.899,0.970,1.076,0.942,2.005,2.859,3.783,2.442
ENSG00000259345,NA,0,-1.6197454421373,7.24847140947643e-7,1.47074834009358,7.93944905273795e-8,44.367799,34.531149,56.274053,57.308129,16.879577,12.770395,8.764239,9.198775,3.625,3.351,5.046,4.497,1.410,1.259,0.839,0.827
ENSG00000276148,NA,0,3.00596965448833,7.24947429924917e-7,-0.585242732443164,7.9417942948419e-8,2.748201,1.556304,0,1.505777,7.997203,8.673838,13.072331,8.690333,0.225,0.151,0.000,0.118,0.668,0.855,1.252,0.781
ENSG00000229931,NA,0,-2.34547476751941,7.35633120590301e-7,0.0519103973173028,8.06391647143031e-8,21,15,14,19,0,4,1,5,1.716,1.455,1.255,1.491,0.000,0.394,0.096,0.449
ENSG00000273618,NA,0,2.2897105771338,7.39363763315211e-7,-0.176387739601632,8.10608284371416e-8,5.563344,1.1936,4.564314,1.826707,15.6763,9.668238,15.119715,10.362758,0.455,0.116,0.409,0.143,1.309,0.953,1.448,0.931
ENSG00000241316,SUCLG2-AS1,0,-2.24939651010069,7.51703296044696e-7,0.336074927356176,8.24653950413455e-8,24.145204,25.173944,18.659487,18.138621,8.446764,1.196484,2.058299,2.010413,1.973,2.443,1.673,1.423,0.706,0.118,0.197,0.181
