ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108388,SRR7108389,SRR7108390,SRR7108391,SRR7108392,SRR7108393,SRR7108394,SRR7108395,SRR7108388 CPM,SRR7108389 CPM,SRR7108390 CPM,SRR7108391 CPM,SRR7108392 CPM,SRR7108393 CPM,SRR7108394 CPM,SRR7108395 CPM
ENSG00000226564,NA,0,2.09678271864055,1.88843801469321e-11,2.27399918199727,1.62384819052849e-13,20.528701,25.187806,17.386093,15.857434,79.76977,87.114029,66.690866,89.236081,1.948,2.283,1.618,1.624,7.289,7.607,5.329,8.680
ENSG00000106688,SLC1A1,0,1.387660716712,2.04098490779634e-11,4.1433728054182,1.76555180597719e-13,99,120.999999,100,110,290,324,203,254,9.393,10.968,9.304,11.264,26.498,28.292,16.222,24.708
ENSG00000142765,SYTL1,0,-1.11257041745848,2.15218639233796e-11,4.00610466761488,1.8691491016401e-13,240.244936,278.093014,235.190802,211.051741,110.999999,99.384558,151.16865,73.054124,22.795,25.207,21.882,21.611,10.142,8.678,12.080,7.106
ENSG00000197859,ADAMTSL2,0,-1.2450763765359,2.5116283982088e-11,4.14132864469184,2.20723702251998e-13,273,292.024391,287,238,103,75.007577,183.064213,91.023034,25.903,26.470,26.702,24.371,9.412,6.550,14.629,8.854
ENSG00000119655,NPC2,0,1.08968703673581,2.91975844188294e-11,6.18500389722659,2.59101132648563e-13,521.964794,518.083667,567.429338,453.717587,1058.893656,1349.177648,944.626588,841.522468,49.525,46.961,52.793,46.460,96.755,117.811,75.486,81.858
ENSG00000169247,SH3TC2,0,-1.19818434833509,3.08869344970613e-11,4.1451986404318,2.75686088774568e-13,286.675116,276.507753,278.707885,239.656439,96.025179,79.135338,182.507392,104.999999,27.201,25.063,25.931,24.540,8.774,6.910,14.584,10.214
ENSG00000165914,TTC7B,0,1.95259734505573,3.10650921035667e-11,2.54318140740499,2.77810512904444e-13,22.259151,31.615199,30.741521,18.656521,68.764675,78.854455,136.884171,105.618009,2.112,2.866,2.860,1.910,6.283,6.886,10.939,10.274
ENSG00000155324,GRAMD2B,0,1.14728705412576,3.18466973027699e-11,4.49327437721803,2.85485137218564e-13,154.935285,163.98121,159,140,310.169355,388.000001,276.999999,330.281704,14.701,14.864,14.793,14.336,28.341,33.880,22.135,32.128
ENSG00000181218,H2AW,0,1.38252999752119,3.26218475519486e-11,4.47579864811824,2.93415417298727e-13,142.632035,150.419167,152.854313,100.547474,374.69609,416.034614,257.059113,301.74037,13.533,13.634,14.221,10.296,34.237,36.328,20.542,29.351
ENSG00000163931,TKT,0,1.45053501897198,3.37412257594513e-11,9.09037510362103,3.0464415229869e-13,3217.999999,3383.999999,3476.000307,2889.004248,8648.002822,11125.999999,5763.160452,7924.000518,305.333,306.736,323.406,295.827,790.201,971.528,460.539,770.796
ENSG00000249731,NA,0,-1.51178425320442,3.4976737554115e-11,3.15401563164729,3.18807004723906e-13,150.627487,145.036019,143.965398,131.546735,44.192449,30.980139,79.29764,41.911757,14.292,13.146,13.394,13.470,4.038,2.705,6.337,4.077
ENSG00000177380,PPFIA3,0,1.04006765297712,3.54868654095269e-11,3.97041295018357,3.24067028951773e-13,114,122,118.999999,96,216,189,246.999999,242.000001,10.817,11.058,11.072,9.830,19.737,16.504,19.738,23.540
ENSG00000174371,EXO1,0,-1.11437253756392,3.68242525439562e-11,4.14075232522553,3.37546676628694e-13,254.000001,285.999999,276.000001,243.256163,113,80,175,110,24.100,25.924,25.679,24.909,10.325,6.986,13.984,10.700
ENSG00000171940,ZNF217,0,1.22192659615025,3.73289707883792e-11,7.64292751123534,3.4281511343654e-13,1403.926806,1376.783987,1325.87675,1211.878418,2650.65016,2769.800271,3212.507204,3300.428276,133.209,124.796,123.359,124.093,242.200,241.860,256.714,321.045
ENSG00000170456,DENND5B,0,1.9642145263203,3.78733879518672e-11,2.55952509593676,3.48466172876484e-13,27.111045,26.148255,33.014779,18.006962,76.932988,100.174991,91.475765,120.856476,2.572,2.370,3.072,1.844,7.030,8.747,7.310,11.756
ENSG00000110171,TRIM3,0,1.64364848066642,3.78824041228459e-11,2.78353765984074,3.49200622729383e-13,38.999999,41.000001,36,29,84,109.999999,115.000001,127.000001,3.700,3.716,3.349,2.970,7.675,9.605,9.190,12.354
ENSG00000140297,GCNT3,0,1.75632438830716,4.65552126864742e-11,5.27364650590784,4.31548654926472e-13,201.133088,191.700325,169.043071,216.859456,698.895709,852.686456,352.075922,582.980429,19.084,17.376,15.728,22.206,63.861,74.457,28.135,56.709
ENSG00000172159,FRMD3,0,1.06850878523904,4.8196522090751e-11,3.55980693495744,4.47591826388387e-13,81.011532,85,88,79,166.000001,166,191,153.000001,7.687,7.705,8.187,8.089,15.168,14.495,15.263,14.883
ENSG00000133134,BEX2,0,-2.66712600307531,4.98228099960517e-11,1.56778216420052,4.63551691538067e-13,53.981421,64,44.000001,50,13,7,10,2,5.122,5.801,4.094,5.120,1.188,0.611,0.799,0.195
ENSG00000132613,MTSS2,0,1.26548113554511,5.0663157565096e-11,5.20001956156432,4.73112878701345e-13,253.000001,266.999999,233.000001,203.781556,594.098377,683,418,487,24.005,24.202,21.678,20.867,54.285,59.640,33.403,47.372
ENSG00000160862,AZGP1,0,1.15487607612567,5.15765720284869e-11,4.93611894070757,4.82529712341082e-13,206.671173,217.864701,208,204.68895,420.516759,557.929432,373.999999,427,19.610,19.748,19.352,20.960,38.424,48.719,29.887,41.536
ENSG00000113742,CPEB4,0,1.03539690406668,5.24105776709737e-11,5.14210858451046,4.91233680683108e-13,273,284.999999,237,229.000001,419,490,501,599.999999,25.903,25.833,22.050,23.449,38.286,42.787,40.035,58.364
ENSG00000163995,ABLIM2,0,1.6305139853195,5.95467029214808e-11,3.95289291732271,5.62215417887302e-13,74,90.000001,73.999999,94,277,307.000001,160,232.000001,7.021,8.158,6.885,9.625,25.311,26.807,12.786,22.567
ENSG00000166004,CEP295,0,-1.06231492025014,6.12456360650087e-11,3.97668043280717,5.79349107166305e-13,217.243211,278.531894,235.583566,203.24166,121.696191,83.061161,130.510187,97.353319,20.613,25.247,21.919,20.811,11.120,7.253,10.429,9.470
ENSG00000141232,TOB1,0,1.26680001283854,6.77222630659196e-11,7.51585676243386,6.45229052892143e-13,1175.733603,1234.8196,1206.876082,1142.775346,2220.539334,2432.480528,3322.432837,3115.949314,111.557,111.928,112.287,117.017,202.899,212.405,265.498,303.100
ENSG00000181649,PHLDA2,0,1.01745671151531,6.83155406118261e-11,4.38593069352923,6.52056426635312e-13,133,173,157,146,257,240,369,329,12.619,15.681,14.607,14.950,23.483,20.957,29.487,32.003
ENSG00000183671,GPR1,0,-3.58464882434122,7.20150189966509e-11,0.0332176770051577,6.89844112011532e-13,17.278303,17.182911,14.053713,19.862593,3.085534,0,2,0,1.639,1.558,1.308,2.034,0.282,0.000,0.160,0.000
ENSG00000186198,SLC51B,0,2.44247378205265,7.41992941520895e-11,1.66070120456974,7.12043719140557e-13,14,7,11,9,38,57,64,59,1.328,0.635,1.023,0.922,3.472,4.977,5.114,5.739
ENSG00000163283,ALPP,0,3.02252052469211,7.51504240345511e-11,2.96482755546447,7.22463532689805e-13,17.282299,22.885477,20.830339,13.018417,59.269403,63.961631,264.37062,209.469002,1.640,2.074,1.938,1.333,5.416,5.585,21.126,20.376
